time(ms),acc.x,acc.y,acc.z,acclinear.x,acclinear.y,acclinear.z,gravity.x,gravity.y,gravity.z,gyroscope.x,gyroscope.y,gyroscope.z,RV.x,RV.y,RV.z,RV.cos,RV.heading
0,-6.681815,6.936232,-0.62860245,0.0991,-0.1068,0.6397,-6.9441,6.8929996,-0.65929997,0.1462586,-0.26394615,3.49E-04,0.69692,-0.218907,-0.606579,0.313754,0
40,-7.154219,6.9108634,-0.19109559,-0.368,-0.055499997,0.62689996,-6.9673,6.8809,-0.5288,0.041556288,-0.4271519,0.17591174,0.690771,-0.223156,-0.614227,0.309452,0
81,-6.8389125,7.1443844,-1.2977531,-0.0118,0.204,-0.90459996,-6.9213996,6.9350996,-0.4094,-0.34847245,-0.09599311,0.36360446,0.684663,-0.228276,-0.618828,0.310124,0
120,-6.488459,7.312007,1.0444179,0.5852,0.22909999,0.9684,-6.832,7.0277,-0.32119998,-0.22649138,0.44266784,0.15941837,0.681636,-0.227482,-0.617673,0.319535,0
160,-6.194633,6.778416,0.12592544,0.7567,-0.2216,0.8257,-6.7976,7.0568,-0.4041,0.5699373,-0.15023795,-0.24370033,0.685301,-0.225757,-0.612251,0.323332,0
200,-7.0107975,6.7244697,-0.022629995,0.0788,-0.2276,0.4235,-6.8747997,6.9746,-0.5118,0.77464694,-0.54166293,-0.37103954,0.687642,-0.230748,-0.614119,0.311062,0
240,-7.289195,6.82834,-1.2031916,-0.4373,-0.051599998,-0.53459996,-6.9764,6.8672,-0.5833,0.4151964,-0.1831374,-0.07681194,0.687792,-0.238081,-0.619186,0.294732,0
280,-7.683175,6.8524637,-0.56859416,-0.60899997,0.0177,0.2049,-6.9811997,6.8567,-0.6462,0.1624378,0.14217453,0.2918016,0.688319,-0.24324399,-0.619271,0.289052,0
320,-7.193532,6.715228,-1.6366092,-0.4301,-0.1095,-0.95059997,-6.8855996,6.9448,-0.7263,-0.1067967,0.09855874,0.3879518,0.689423,-0.24845,-0.614505,0.292147,0
360,-6.6013026,6.97656,-0.35294363,0.0637,-0.1148,0.1334,-6.7812996,7.0481,-0.71199995,0.08250172,-0.26771605,0.28527406,0.687489,-0.252311,-0.612287,0.297997,0
